codigo_variavel,nome_semantico,descricao_variavel,bloco,tipo,dominio,tamanho,quesito,parte,meses
C005,quanto_tempo_afastado_trabalho,Há quanto tempo está afastado desse trabalho?,trabalho,integer,,1,C5,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0051,tempo_afastado_1_mes_1_ano,tempo que estava afastado (De 1 mês a menos de 1 ano),trabalho,integer,,2,C5,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0052,tempo_afastado_1_ano_2_anos,tempo que estava afastado (De 1 ano a menos de 2 anos),trabalho,integer,,2,C5,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0053,tempo_afastado_02_anos_98_anos,tempo que estava afastado (de 02 anos a 98 anos),trabalho,integer,,2,C5,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C006,trabalho,Tem mais de um trabalho,trabalho,integer,,1,C6,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007,trabalho_unico_principal_semana,"No trabalho (único ou principal) que tinha nessa semana, era:",trabalho,integer,,2,C7,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007A,trabalho_area,Esse trabalho era na área:,trabalho,integer,,1,C7a,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007B,tem_carteira_assinada,Tem carteira de trabalho assinada ou é funcionário público estatutário?,trabalho,integer,,1,C7b,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,Qual é a principal atividade do local ou empresa em que você trabalha?,trabalho,integer,,2,C7d,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E,semana_passada_quantos_empregados_trabalhavam_negocio,"Na semana passada, quantos empregados trabalhavam nesse negócio/empresa que ... tinha ?",trabalho,integer,,1,C7e,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E1,1_5_empregados,1 a 5 empregados,trabalho,integer,,1,C7e,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E2,6_10_empregados,6 a 10 empregados,trabalho,integer,,2,C7e,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007F,trabalho_unico_principal_semana_contrato_trabalho_suspenso,"No trabalho (único ou principal) que tinha nessa semana, o(a) Sr(a) estava com o contrato de trabalho suspenso?",trabalho,integer,,1,C18,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C009A,semana_passada_gostaria_ter_trabalhado_horas_fato,"Na semana passada, o(a) Sr(a) gostaria de ter trabalhado mais horas do que as de fato trabalhadas?",trabalho,integer,,1,C9a,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0101,recebia_retirava_normalmente_dinheiro,Recebia/retirava normalmente em dinheiro,trabalho,integer,,1,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,Número da faixa do rendimento/retirada em dinheiro,trabalho,integer,,2,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01012,valor_dinheiro,Valor em dinheiro,trabalho,integer,,8,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0102,recebia_normalmente_produtos_mercadorias,Recebia normalmente em produtos e mercadorias,trabalho,integer,,1,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,Número da faixa do rendimento/retirada em produtos e mercadorias,trabalho,integer,,2,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01022,valor_produtos_mercadorias,Valor em produtos e mercadorias,trabalho,integer,,8,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0103,recebia_normalmente_somente_beneficios,Recebia normalmente somente em benefícios,trabalho,integer,,1,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0104,nao_remunerado,Era não remunerado,trabalho,integer,,1,C10,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A1,recebia_retirava_efetivamente_dinheiro,Recebia/retirava efetivamente em dinheiro,trabalho,integer,,1,C11A,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,Número da faixa do rendimento/retirada em dinheiro,trabalho,integer,,2,C11A,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A2,recebia_efetivamente_produtos_mercadorias,Recebia efetivamente em produtos e mercadorias,trabalho,integer,,1,C11A,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,Número da faixa do rendimento/retirada em produtos e mercadorias,trabalho,integer,,2,C11A,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A22,valor_produtos_mercadorias_2,Valor em produtos e mercadorias,trabalho,integer,,8,C11A,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C012,maior_parte_tempo_semana_passada_trabalho_unico_principal,"Na maior parte do tempo, na semana passada, esse trabalho (único ou principal) foi exercido no mesmo local em que costuma trabalhar?",trabalho,integer,,1,C12,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C013,fez_home_office,"Na semana passada, o(a) Sr(a) estava em trabalho remoto (home office ou teletrabalho)?",comportamento,integer,,1,C13,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C015,procurou_trabalho_semana,Na semana passada ___ tomou alguma providência efetiva para conseguir trabalho?,comportamento,integer,,1,C15,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,Qual o principal motivo de não ter procurado trabalho na semana passada?,trabalho,integer,,2,C16,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C017A,embora_nao_tenha_procurado_trabalho_gostaria_ter_trabalhado,"Embora você não tenha procurado trabalho, gostaria de ter trabalhado na semana passada?",trabalho,integer,,1,C17a,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
